# Reduction : NTR-KZFD based ; Ising before applying embedding
k,rcs,at,meanr,minr,maxr,proba,nbdup,maxdup,nbduperrors
0,0.65,100,0.9739999999999998,0.8,1.0,0.87,1,2,0
0,0.65,200,0.9739999999999998,0.8,1.0,0.87,1,2,1
0,0.65,300,0.9719999999999998,0.6,1.0,0.87,1,2,0
0,0.65,400,0.9819999999999999,0.8,1.0,0.91,1,2,0
0,0.65,500,0.978,0.8,1.0,0.89,1,2,1
0,0.65,600,0.9679999999999999,0.6,1.0,0.85,1,2,0
0,0.65,700,0.9819999999999999,0.8,1.0,0.91,1,2,0
0,0.65,800,0.9779999999999999,0.6,1.0,0.9,1,2,0
0,0.65,900,0.976,0.8,1.0,0.88,1,2,1
0,0.65,1000,0.9739999999999999,0.8,1.0,0.87,1,2,0
0,0.65,1100,0.9839999999999999,0.8,1.0,0.92,1,2,0
0,0.65,1200,0.9859999999999998,0.8,1.0,0.93,1,2,0
0,0.65,1300,0.9739999999999999,0.8,1.0,0.87,1,2,1
0,0.65,1400,0.9839999999999999,0.8,1.0,0.92,1,2,0
0,0.65,1500,0.9719999999999999,0.8,1.0,0.86,1,2,0
0,0.65,1600,0.9819999999999999,0.8,1.0,0.91,1,2,0
0,0.65,1700,0.9639999999999997,0.8,1.0,0.82,1,2,0
0,0.65,1800,0.964,0.8,1.0,0.82,1,2,1
0,0.65,1900,0.966,0.8,1.0,0.83,1,2,0
0,0.65,2000,0.9499999999999997,0.6,1.0,0.76,1,2,0
1,0.65,100,0.954,0.8,1.0,0.77,1,2,0
1,0.65,200,0.958,0.6,1.0,0.8,1,2,0
1,0.65,300,0.972,0.8,1.0,0.86,1,2,0
1,0.65,400,0.956,0.8,1.0,0.78,1,2,0
1,0.65,500,0.9580000000000003,0.8,1.0,0.79,1,2,0
1,0.65,600,0.954,0.8,1.0,0.77,1,2,0
1,0.65,700,0.9619999999999999,0.8,1.0,0.81,1,2,0
1,0.65,800,0.9599999999999999,0.8,1.0,0.8,1,2,0
1,0.65,900,0.968,0.8,1.0,0.84,1,2,0
1,0.65,1000,0.9779999999999999,0.8,1.0,0.89,1,2,0
1,0.65,1100,0.9699999999999999,0.8,1.0,0.85,1,2,0
1,0.65,1200,0.9839999999999999,0.8,1.0,0.92,1,2,0
1,0.65,1300,0.9819999999999998,0.8,1.0,0.91,1,2,0
1,0.65,1400,0.9759999999999998,0.8,1.0,0.88,1,2,0
1,0.65,1500,0.9659999999999997,0.8,1.0,0.83,1,2,0
1,0.65,1600,0.9660000000000001,0.8,1.0,0.83,1,2,0
1,0.65,1700,0.9719999999999999,0.8,1.0,0.86,1,2,0
1,0.65,1800,0.958,0.8,1.0,0.79,1,2,0
1,0.65,1900,0.9640000000000002,0.8,1.0,0.82,1,2,0
1,0.65,2000,0.9620000000000002,0.8,1.0,0.81,1,2,0
2,0.65,100,0.9699999999999999,0.8,1.0,0.85,1,2,1
2,0.65,200,0.9779999999999999,0.8,1.0,0.89,1,2,0
2,0.65,300,0.9539999999999997,0.8,1.0,0.77,1,2,1
2,0.65,400,0.9560000000000001,0.8,1.0,0.78,1,2,1
2,0.65,500,0.9719999999999998,0.6,1.0,0.87,1,2,0
2,0.65,600,0.9679999999999999,0.8,1.0,0.84,1,2,0
2,0.65,700,0.9819999999999999,0.8,1.0,0.91,1,2,0
2,0.65,800,0.9799999999999998,0.8,1.0,0.9,1,2,0
2,0.65,900,0.9739999999999999,0.6,1.0,0.88,1,2,0
2,0.65,1000,0.968,0.8,1.0,0.84,1,2,1
2,0.65,1100,0.9739999999999998,0.8,1.0,0.87,1,2,0
2,0.65,1200,0.9719999999999998,0.8,1.0,0.86,1,2,0
