# Reduction : NTR-KZFD based ; Ising before applying embedding
j,k,rcs,at,meanr,minr,maxr,proba,nbdup,maxdup,nbduperrors
0,0,0.05,20,0.99125,0.75,1.0,0.96,7,2,0
0,0,0.1,20,0.9975,0.75,1.0,0.99,7,2,2
0,0,0.15000000000000002,20,0.99625,0.75,1.0,0.98,7,2,0
0,0,0.2,20,0.99625,0.75,1.0,0.98,7,2,0
0,0,0.25,20,0.995,0.75,1.0,0.97,7,2,0
0,0,0.30000000000000004,20,1.0,1.0,1.0,1.0,7,2,0
0,0,0.35000000000000003,20,0.995,0.875,1.0,0.96,7,2,1
0,0,0.4,20,1.0,1.0,1.0,1.0,7,2,0
0,0,0.45,20,0.995,0.875,1.0,0.96,7,2,0
0,0,0.5,20,0.9975,0.875,1.0,0.98,7,2,0
0,0,0.55,20,0.99625,0.875,1.0,0.97,7,2,0
0,0,0.6000000000000001,20,0.99375,0.875,1.0,0.95,7,2,1
0,0,0.65,20,0.99125,0.875,1.0,0.93,7,2,0
0,0,0.7000000000000001,20,0.99375,0.875,1.0,0.95,7,2,0
0,0,0.75,20,0.9925,0.875,1.0,0.94,7,2,0
0,0,0.8,20,0.99875,0.875,1.0,0.99,7,2,0
0,0,0.8500000000000001,20,0.98875,0.875,1.0,0.91,7,2,0
0,0,0.9,20,0.98625,0.875,1.0,0.89,7,2,0
0,0,0.9500000000000001,20,0.9975,0.875,1.0,0.98,7,2,1
0,0,1.0,20,0.98375,0.875,1.0,0.87,7,2,0
0,0,1.05,20,0.9825,0.875,1.0,0.86,7,2,0
0,0,1.1,20,0.9875,0.75,1.0,0.91,7,2,0
0,0,1.1500000000000001,20,0.99,0.875,1.0,0.92,7,2,0
0,0,1.2000000000000002,20,0.97875,0.875,1.0,0.83,7,2,0
0,0,1.25,20,0.985,0.75,1.0,0.89,7,2,0
0,0,1.3,20,0.9675,0.75,1.0,0.78,7,2,0
0,0,1.35,20,0.96625,0.75,1.0,0.76,7,2,0
0,0,1.4000000000000001,20,0.975,0.75,1.0,0.81,7,2,0
0,0,1.4500000000000002,20,0.975,0.875,1.0,0.8,7,2,0
0,1,0.05,20,0.96125,0.75,1.0,0.77,3,2,1
0,1,0.1,20,0.9325,0.625,1.0,0.61,3,2,1
0,1,0.15000000000000002,20,0.97375,0.75,1.0,0.87,3,2,1
0,1,0.2,20,0.96875,0.75,1.0,0.87,3,2,0
0,1,0.25,20,0.98375,0.75,1.0,0.92,3,2,0
0,1,0.30000000000000004,20,0.9875,0.75,1.0,0.94,3,2,0
0,1,0.35000000000000003,20,0.99125,0.75,1.0,0.95,3,2,0
0,1,0.4,20,0.98375,0.75,1.0,0.92,3,2,0
0,1,0.45,20,0.99875,0.875,1.0,0.99,3,2,0
0,1,0.5,20,0.99625,0.75,1.0,0.98,3,2,0
0,1,0.55,20,0.9975,0.75,1.0,0.99,3,2,0
0,1,0.6000000000000001,20,0.99625,0.75,1.0,0.98,3,2,1
0,1,0.65,20,1.0,1.0,1.0,1.0,3,2,0
0,1,0.7000000000000001,20,0.98875,0.75,1.0,0.93,3,2,0
0,1,0.75,20,0.995,0.875,1.0,0.96,3,2,0
0,1,0.8,20,1.0,1.0,1.0,1.0,3,2,0
0,1,0.8500000000000001,20,0.9875,0.75,1.0,0.91,3,2,0
0,1,0.9,20,0.99625,0.875,1.0,0.97,3,2,0
0,1,0.9500000000000001,20,1.0,1.0,1.0,1.0,3,2,0
0,1,1.0,20,0.99625,0.875,1.0,0.97,3,2,0
0,1,1.05,20,0.99375,0.875,1.0,0.95,3,2,0
0,1,1.1,20,0.99125,0.75,1.0,0.94,3,2,0
0,1,1.1500000000000001,20,0.97625,0.625,1.0,0.83,3,2,0
0,1,1.2000000000000002,20,0.97625,0.75,1.0,0.82,3,2,0
0,1,1.25,20,0.97625,0.75,1.0,0.82,3,2,0
0,1,1.3,20,0.95625,0.75,1.0,0.69,3,2,0
0,1,1.35,20,0.975,0.75,1.0,0.81,3,2,0
0,1,1.4000000000000001,20,0.9725,0.75,1.0,0.8,3,2,0
0,1,1.4500000000000002,20,0.96875,0.75,1.0,0.77,3,2,0
0,2,0.05,20,0.99625,0.875,1.0,0.97,4,2,1
0,2,0.1,20,0.9975,0.875,1.0,0.98,4,2,1
0,2,0.15000000000000002,20,0.99375,0.5,1.0,0.98,4,2,2
0,2,0.2,20,0.99125,0.5,1.0,0.96,4,2,3
0,2,0.25,20,0.99625,0.875,1.0,0.97,4,2,1
0,2,0.30000000000000004,20,0.99875,0.875,1.0,0.99,4,2,1
0,2,0.35000000000000003,20,0.99875,0.875,1.0,0.99,4,2,0
0,2,0.4,20,0.99875,0.875,1.0,0.99,4,2,0
0,2,0.45,20,1.0,1.0,1.0,1.0,4,2,1
0,2,0.5,20,0.99875,0.875,1.0,0.99,4,2,0
0,2,0.55,20,0.99875,0.875,1.0,0.99,4,2,0
0,2,0.6000000000000001,20,0.99875,0.875,1.0,0.99,4,2,0
0,2,0.65,20,1.0,1.0,1.0,1.0,4,2,1
0,2,0.7000000000000001,20,0.9975,0.875,1.0,0.98,4,2,0
0,2,0.75,20,0.9975,0.875,1.0,0.98,4,2,0
0,2,0.8,20,0.9975,0.875,1.0,0.98,4,2,0
0,2,0.8500000000000001,20,0.99625,0.875,1.0,0.97,4,2,1
0,2,0.9,20,0.9925,0.875,1.0,0.94,4,2,0
