# Reduction : Rosenberg ; Ising before applying embedding
j,k,rcs,at,meanr,minr,maxr,proba,nbdup,maxdup,nbduperrors
0,0,0.05,20,0.6375,0.375,1.0,0.01,3,2,1
0,0,0.1,20,0.63625,0.5,0.875,0.0,3,2,1
0,0,0.15000000000000002,20,0.63125,0.5,0.875,0.0,3,2,1
0,0,0.2,20,0.655,0.5,0.875,0.0,3,2,1
0,0,0.25,20,0.69125,0.375,1.0,0.03,3,2,0
0,0,0.30000000000000004,20,0.68125,0.375,0.875,0.0,3,2,0
0,0,0.35000000000000003,20,0.68375,0.375,1.0,0.02,3,2,0
0,0,0.4,20,0.70375,0.375,0.875,0.0,3,2,1
0,0,0.45,20,0.6575,0.375,0.875,0.0,3,2,0
0,0,0.5,20,0.71625,0.5,1.0,0.01,3,2,2
0,0,0.55,20,0.70125,0.375,1.0,0.01,3,2,0
0,0,0.6000000000000001,20,0.7725,0.5,1.0,0.07,3,2,1
0,0,0.65,20,0.7275,0.5,0.875,0.0,3,2,0
0,0,0.7000000000000001,20,0.76375,0.5,1.0,0.08,3,2,0
0,0,0.75,20,0.73125,0.375,1.0,0.01,3,2,0
0,0,0.8,20,0.76875,0.5,1.0,0.04,3,2,0
0,0,0.8500000000000001,20,0.77125,0.5,1.0,0.07,3,2,1
0,0,0.9,20,0.75,0.5,1.0,0.01,3,2,1
0,0,0.9500000000000001,20,0.7725,0.5,1.0,0.05,3,2,0
0,0,1.0,20,0.7575,0.5,1.0,0.03,3,2,0
0,0,1.05,20,0.755,0.375,1.0,0.04,3,2,0
0,0,1.1,20,0.75125,0.375,1.0,0.03,3,2,0
0,0,1.1500000000000001,20,0.76375,0.5,1.0,0.07,3,2,0
0,0,1.2000000000000002,20,0.7275,0.375,1.0,0.02,3,2,0
0,0,1.25,20,0.7075,0.375,1.0,0.01,3,2,0
0,0,1.3,20,0.67,0.375,1.0,0.02,3,2,1
0,0,1.35,20,0.7325,0.5,1.0,0.02,3,2,0
0,0,1.4000000000000001,20,0.67375,0.25,1.0,0.01,3,2,0
0,0,1.4500000000000002,20,0.6925,0.375,1.0,0.01,3,2,0
0,1,0.05,20,0.7325,0.5,0.875,0.0,3,2,2
0,1,0.1,20,0.75125,0.375,1.0,0.06,3,2,2
0,1,0.15000000000000002,20,0.725,0.5,1.0,0.03,3,2,0
0,1,0.2,20,0.70625,0.375,1.0,0.02,3,2,1
0,1,0.25,20,0.7025,0.375,1.0,0.01,3,2,2
0,1,0.30000000000000004,20,0.6925,0.375,0.875,0.0,3,2,0
0,1,0.35000000000000003,20,0.69,0.375,1.0,0.01,3,2,0
0,1,0.4,20,0.72625,0.25,1.0,0.07,3,2,2
0,1,0.45,20,0.72375,0.375,1.0,0.04,3,2,0
0,1,0.5,20,0.6825,0.375,1.0,0.01,3,2,1
0,1,0.55,20,0.7375,0.375,1.0,0.04,3,2,2
0,1,0.6000000000000001,20,0.69875,0.375,1.0,0.02,3,2,0
0,1,0.65,20,0.75875,0.375,1.0,0.08,3,2,0
0,1,0.7000000000000001,20,0.765,0.5,1.0,0.08,3,2,2
0,1,0.75,20,0.775,0.5,1.0,0.05,3,2,1
0,1,0.8,20,0.76,0.5,1.0,0.05,3,2,0
0,1,0.8500000000000001,20,0.74125,0.375,1.0,0.04,3,2,0
0,1,0.9,20,0.74875,0.375,1.0,0.03,3,2,0
0,1,0.9500000000000001,20,0.7475,0.25,1.0,0.06,3,2,0
0,1,1.0,20,0.75875,0.5,1.0,0.03,3,2,0
0,1,1.05,20,0.72375,0.375,1.0,0.05,3,2,0
0,1,1.1,20,0.68375,0.375,1.0,0.03,3,2,0
0,1,1.1500000000000001,20,0.70375,0.375,1.0,0.05,3,2,0
0,1,1.2000000000000002,20,0.72625,0.375,1.0,0.04,3,2,0
0,1,1.25,20,0.70625,0.5,0.875,0.0,3,2,0
0,1,1.3,20,0.68875,0.25,1.0,0.03,3,2,0
0,1,1.35,20,0.6925,0.375,1.0,0.02,3,2,0
0,1,1.4000000000000001,20,0.6825,0.375,1.0,0.03,3,2,0
0,1,1.4500000000000002,20,0.66625,0.25,1.0,0.01,3,2,0
0,2,0.05,20,0.56625,0.125,0.875,0.0,3,2,0
0,2,0.1,20,0.54125,0.25,0.875,0.0,3,2,0
0,2,0.15000000000000002,20,0.53875,0.25,0.875,0.0,3,2,0
0,2,0.2,20,0.62125,0.25,0.875,0.0,3,2,0
0,2,0.25,20,0.63875,0.375,1.0,0.01,3,2,0
0,2,0.30000000000000004,20,0.63375,0.375,1.0,0.01,3,2,0
0,2,0.35000000000000003,20,0.6925,0.125,1.0,0.03,3,2,0
0,2,0.4,20,0.675,0.25,1.0,0.05,3,2,0
0,2,0.45,20,0.70125,0.375,1.0,0.08,3,2,1
0,2,0.5,20,0.72125,0.375,1.0,0.06,3,2,1
0,2,0.55,20,0.73,0.375,1.0,0.04,3,2,0
0,2,0.6000000000000001,20,0.75375,0.375,1.0,0.09,3,2,1
0,2,0.65,20,0.74875,0.25,1.0,0.04,3,2,0
0,2,0.7000000000000001,20,0.75,0.375,1.0,0.05,3,2,0
0,2,0.75,20,0.775,0.5,1.0,0.03,3,2,1
0,2,0.8,20,0.7525,0.5,1.0,0.02,3,2,0
0,2,0.8500000000000001,20,0.78,0.375,1.0,0.08,3,2,0
