# Reduction : Rosenberg ; QUBO before applying embedding
j,k,rcs,at,meanr,minr,maxr,proba,nbdup,maxdup,nbduperrors
0,0,0.05,20,0.7575,0.375,1.0,0.19,3,2,0
0,0,0.1,20,0.7775,0.5,1.0,0.1,3,2,0
0,0,0.15000000000000002,20,0.755,0.375,1.0,0.09,3,2,1
0,0,0.2,20,0.7425,0.375,1.0,0.05,3,2,0
0,0,0.25,20,0.7375,0.375,1.0,0.05,3,2,1
0,0,0.30000000000000004,20,0.67625,0.375,0.875,0.0,3,2,0
0,0,0.35000000000000003,20,0.65125,0.0,1.0,0.03,3,2,0
0,0,0.4,20,0.67875,0.25,1.0,0.05,3,2,0
0,0,0.45,20,0.6125,0.25,0.875,0.0,3,2,0
0,0,0.5,20,0.59125,0.125,0.875,0.0,3,2,0
0,0,0.55,20,0.615,0.25,1.0,0.01,3,2,0
0,0,0.6000000000000001,20,0.59375,0.375,0.875,0.0,3,2,0
0,0,0.65,20,0.5975,0.375,1.0,0.01,3,2,0
0,0,0.7000000000000001,20,0.55,0.25,0.875,0.0,3,2,0
0,0,0.75,20,0.5525,0.25,1.0,0.01,3,2,0
0,0,0.8,20,0.59375,0.25,1.0,0.02,3,2,0
0,0,0.8500000000000001,20,0.555,0.25,0.75,0.0,3,2,0
0,0,0.9,20,0.52625,0.125,0.875,0.0,3,2,0
0,0,0.9500000000000001,20,0.57625,0.25,0.875,0.0,3,2,0
0,0,1.0,20,0.58375,0.125,0.875,0.0,3,2,0
0,0,1.05,20,0.53375,0.125,1.0,0.01,3,2,0
0,0,1.1,20,0.51875,0.125,0.75,0.0,3,2,0
0,0,1.1500000000000001,20,0.5325,0.125,1.0,0.01,3,2,0
0,0,1.2000000000000002,20,0.52375,0.125,0.875,0.0,3,2,0
0,0,1.25,20,0.5175,0.125,0.875,0.0,3,2,0
0,0,1.3,20,0.52375,0.125,0.875,0.0,3,2,0
0,0,1.35,20,0.535,0.125,1.0,0.01,3,2,0
0,0,1.4000000000000001,20,0.51625,0.125,0.75,0.0,3,2,0
0,0,1.4500000000000002,20,0.525,0.125,0.875,0.0,3,2,1
0,1,0.05,20,0.7175,0.375,1.0,0.08,3,2,0
0,1,0.1,20,0.70375,0.375,0.875,0.0,3,2,1
0,1,0.15000000000000002,20,0.71375,0.25,1.0,0.02,3,2,0
0,1,0.2,20,0.73,0.5,1.0,0.05,3,2,0
0,1,0.25,20,0.67375,0.125,1.0,0.01,3,2,0
0,1,0.30000000000000004,20,0.66875,0.25,1.0,0.01,3,2,1
0,1,0.35000000000000003,20,0.65375,0.25,1.0,0.03,3,2,1
0,1,0.4,20,0.65625,0.25,0.875,0.0,3,2,0
0,1,0.45,20,0.57375,0.125,0.875,0.0,3,2,0
0,1,0.5,20,0.56875,0.25,0.875,0.0,3,2,0
0,1,0.55,20,0.5675,0.125,0.875,0.0,3,2,1
0,1,0.6000000000000001,20,0.565,0.0,1.0,0.01,3,2,0
0,1,0.65,20,0.57625,0.125,0.875,0.0,3,2,0
0,1,0.7000000000000001,20,0.55,0.25,0.875,0.0,3,2,0
0,1,0.75,20,0.56875,0.125,1.0,0.02,3,2,0
0,1,0.8,20,0.55875,0.0,0.875,0.0,3,2,1
0,1,0.8500000000000001,20,0.5425,0.0,0.875,0.0,3,2,0
0,1,0.9,20,0.545,0.125,0.875,0.0,3,2,0
