# Settings (INTERP) : f = 1, angles = None, pmax = 15, backend = qasm_simulator, optimizer = COBYLA, (maxiter, tol) = (100, 1e-06), Hamiltonian, shots = 256
p,avg_cost,opt_proba,angles_0,angles_1,angles_2,angles_3,angles_4,angles_5,angles_6,angles_7,angles_8,angles_9,angles_10,angles_11,angles_12,angles_13,angles_14,angles_15,angles_16,angles_17,angles_18,angles_19,angles_20,angles_21,angles_22,angles_23,angles_24,angles_25,angles_26,angles_27,angles_28,angles_29
1.0,-17.6875,0.171875,0.3569624945424502,0.7962281348466664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,-18.13671875,0.359375,0.5565960430530541,0.2814603162397847,0.6596625067394362,1.1205467228206256,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,-18.44921875,0.4921875,0.5840560285674512,0.4410537967549397,0.2821208931075014,0.5855752453539909,0.9926807945110179,1.1183923184230276,,,,,,,,,,,,,,,,,,,,,,,,
4.0,-18.17578125,0.42578125,0.5034733610533769,0.456732731266764,0.4336942880515591,0.2937006121434951,0.5078508438334906,0.931524426159176,1.0690893918969469,1.180620085510804,,,,,,,,,,,,,,,,,,,,,,
5.0,-18.33203125,0.4453125,0.5067094125815998,0.4718205077620976,0.4897800931655834,0.3733349411062615,0.2964267012502996,0.46693794098276165,0.7959734358257364,0.9935331703232944,1.0743045335906052,1.2434218353649085,,,,,,,,,,,,,,,,,,,,
6.0,-18.3828125,0.56640625,0.5404931043707559,0.4155561414815245,0.4992536660635333,0.4378070490767646,0.4230351422789989,0.2436488258827455,0.43883756339663904,0.5264207837536823,0.8206585141840819,0.9320756016278775,1.1017324474048404,1.1720642841021816,,,,,,,,,,,,,,,,,,
7.0,-18.37109375,0.62890625,0.5305353423232398,0.4284888038171208,0.7119176848746934,0.4518816640590098,0.3909954583470166,0.3664737189299955,0.2425529881163503,0.46413822333774224,0.5275074079152766,0.7396947301268453,0.89357307903484,1.003921903094815,1.1274851213722643,1.1861479728052648,,,,,,,,,,,,,,,,
8.0,-18.59375,0.6796875,0.5033140870730982,0.4331446234510841,0.5751145314185038,0.5055573195673413,0.4225747536173155,0.3639650306212854,0.3466635742524871,0.1956247268857192,0.4368388892959558,0.5536069683870766,0.679280805691179,0.6641595320636613,0.7910496329792451,1.0624203461085493,1.1555909073789978,1.2088470266391749,,,,,,,,,,,,,,
9.0,-18.58984375,0.73046875,0.6122793282410024,0.3755835025595302,0.5250263217401814,0.5417806879056608,0.4868278482760971,0.374504970091131,0.4030399716467544,0.3408154378231092,0.2211823547718913,0.23846931704915253,0.3615541228383634,0.5571053182821872,0.7561098505093309,0.7226951805644939,0.8887085547238298,1.0841879381586805,1.1600543597100073,1.1578241793153143,,,,,,,,,,,,
10.0,-18.765625,0.8125,0.5245633579071326,0.3538453491017714,0.4759589208834231,0.5028497510466772,0.4725793136692237,0.4110077422525492,0.3776686396012639,0.3299861511630541,0.3253189151765487,0.1406671372315791,0.2063555615929653,0.36796409709680855,0.5339889376811753,0.7127478610885207,0.7645222260859015,0.8233794490766879,0.9608388101863952,0.9251021262121224,0.9728688651179196,0.921745751934222,,,,,,,,,,
11.0,-18.74609375,0.81640625,0.5605878975108239,0.338198726909046,0.4739334088454711,0.4633006140538213,0.4633448217883211,0.4234361740628434,0.4046033828595534,0.3786724156347848,0.3104252556615475,0.232721223901765,0.1828924918622085,0.24473731056013381,0.305508115733347,0.5159210445058546,0.715259951403576,0.7378528510014171,0.7867435941985264,0.8016514829280252,0.9001431234080766,0.8028086304204711,0.7651930614969098,0.923989010195549,,,,,,,,
12.0,-18.72265625,0.8046875,0.5510876140965909,0.3399576208029717,0.4481935281775112,0.4449920788808773,0.4227270816329053,0.4249190687443512,0.4198536759047854,0.3760825685147452,0.3627938483744742,0.2953414303934396,0.2608250669433548,0.1555793880971234,0.2517752695348596,0.35644886308108514,0.5028208050271212,0.5672032346013918,0.82167359946044,0.7690679519113486,0.8004929261556395,0.6557021961299032,0.7162175683279859,0.8128249940211631,0.7940656245709805,0.9324155406245458,,,,,,
13.0,-18.85546875,0.90234375,0.4615150718212671,0.4463793840314607,0.426030687215184,0.4467492169241134,0.4130106751639475,0.4106818554774394,0.4270381147968409,0.3926751474414968,0.3691709645064859,0.3398103980904714,0.2924238176016314,0.2402970755502016,0.158676049046161,0.25187404590951346,0.35577088885704367,0.47717687602942505,0.5587307431560751,0.7405943336545047,0.7928776494990659,0.7901295694398023,0.740659890368832,0.6414445082148115,0.714797497625467,0.7814112949489891,0.785385610814596,0.9413426930740618,,,,
14.0,-18.88671875,0.92578125,0.4652004010403922,0.446005433593256,0.4297114031122448,0.4450248241225921,0.4215071828825518,0.4129907808862151,0.4179681865103997,0.4113588265927702,0.3811827578041336,0.362197239408063,0.3247611056281028,0.2836211922359742,0.2365084039744942,0.1575979552290553,0.2509380147309743,0.34562345632764035,0.46002209066313693,0.5278682516434889,0.701235744692446,0.7574250145453032,0.8068352275919137,0.7668686521400208,0.7007390141920204,0.664279260270086,0.7295984130077695,0.7823750922346973,0.7971238403463774,0.9427218605319059,,
15.0,-18.9453125,0.96484375,0.4542269563400828,0.417585321676992,0.4253084826874682,0.4348026248201495,0.4547792327377525,0.44480531316726,0.3828038821761472,0.3793128420942911,0.3836989635100949,0.3638835227220397,0.3396882596719724,0.303500777717297,0.2608031573673974,0.2144842286723418,0.1412960020267669,0.26386048885932123,0.3491429164413855,0.4569185154708322,0.5238599425523516,0.5643533965212759,0.8258138685113474,0.796987959751772,0.7953887198414593,0.7487715147043268,0.6987693427171306,0.6924246228242854,0.7485908033914841,0.7908500326648031,0.8128072735645384,0.9467133819799072
