# Settings (thINTERP) : f = 1, angles = (Optimized best parameters on simulator for each p from pie_phi1_p15_iter100_INTERP_sv.csv), pmax = 15, backend = ibmq_bogota, optimizer = COBYLA, (maxiter, tol) = (100, 1e-06), Hamiltonian, shots = 256
p,avg_cost,opt_proba,angles_0,angles_1,angles_2,angles_3,angles_4,angles_5,angles_6,angles_7,angles_8,angles_9,angles_10,angles_11,angles_12,angles_13,angles_14,angles_15,angles_16,angles_17,angles_18,angles_19,angles_20,angles_21,angles_22,angles_23,angles_24,angles_25,angles_26,angles_27,angles_28,angles_29
1,-16.94921875,0.15625,0.398193764871298,0.7826536534257788,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-16.79296875,0.09765625,0.5607017048631694,0.3034381710906078,0.5120336715269488,1.1532597716815585,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-16.87109375,0.05078125,0.8206228052142074,0.4330998864141629,0.1435875894523763,0.8618332918944308,1.0857024415726906,2.140275761169943,,,,,,,,,,,,,,,,,,,,,,,,
4,-16.75,0.0625,0.4554895976029644,0.4211327047870067,0.3242914714794485,0.2129366627859479,0.3351264690041708,0.6509100328188882,0.7831754774720611,0.9476560857888446,,,,,,,,,,,,,,,,,,,,,,
5,-16.58203125,0.05078125,0.5852726269572888,0.4862219636346426,0.3869005530968875,0.2865881714777721,0.1424704838141081,0.4798196270010577,0.4103260344176762,0.7435352757484687,1.818329622559369,1.0235360606216697,,,,,,,,,,,,,,,,,,,,
6,-16.76171875,0.05078125,1.5015101968554485,0.6323646923121431,0.4429616183207208,0.3120588369382077,0.2655547155290729,0.0393408030509089,0.4394721657613943,0.5150954620861173,1.103944047572881,0.6693813858991657,0.9344806207878268,2.066498973101543,,,,,,,,,,,,,,,,,,
7,-16.68359375,0.05859375,0.5883711946469314,0.5255070000408861,0.3829399547805695,0.2901029759644723,0.3286436448237122,0.2887598019004929,0.2283001263247795,0.3554562811440387,0.5863428857481244,0.6079784601344671,0.6687171723431335,0.8599152759427131,1.97492630656413,1.0724076033147647,,,,,,,,,,,,,,,,
8,-16.421875,0.04296875,0.6316159560105483,0.5629553305609978,0.4491742162729392,0.3879027679272065,0.3765741393323473,0.3711242019642508,0.3208894370603256,0.1906109444687788,0.3393846840688932,0.5903598375104685,0.6371716194365015,0.73360555244711,0.6025702869823654,1.8521506067646647,0.8460781471459551,1.1226732089350382,,,,,,,,,,,,,,na
9,-16.46484375,0.0390625,1.5999885386742578,0.5476836050269509,0.4625175741864937,0.3729143364423999,0.3474484771761156,0.3825743553449069,0.3726484165589995,0.3277398189345177,0.1668364833040936,0.2815155042400806,0.5908499603899019,0.6606187622756889,0.5934499627814505,0.656252552332549,0.7844988600748088,0.8770654793584631,0.9382616484356874,1.1213796083685483,,,,,,,,,,,,
10,-16.734375,0.0703125,0.6777571750414654,0.4786445811836025,0.3986307345846543,0.3726323387297601,0.313049162037312,0.3442788906480258,0.3890087827673673,0.404479484151798,0.2254023266372753,0.1596241067934944,0.2776452856826272,0.5980172492655284,0.6461129989843285,0.7211698580979848,0.7015527594794942,0.7533193802689587,0.9541346999013032,1.2280540015562074,0.7778974967262974,1.942236078654267,,,,,,,,,,
11,-16.60546875,0.05859375,0.6743700911620726,0.5531852927004017,0.4362338263146142,0.349599261151536,0.3366013077903605,0.3729431090335412,0.3932857248318298,0.392471649710358,0.2607010307071057,0.2474961080636649,0.0476776310305438,0.2801167320069181,0.6275602251121093,0.6078408927177554,0.5847484126112824,0.6111614985441463,0.66346914823847,1.1812621668132142,0.7552373896378335,0.7579139998926365,1.9836629422829464,2.165212701499588,,,,,,,,
12,-16.6953125,0.07421875,0.6139548590977251,0.551054047748349,0.4657146576024494,0.3506084532645986,0.3406520233324838,0.3614395993882003,0.354134034809436,0.3895920735358247,0.3336627593284742,0.2942428179400191,0.2606672688414502,0.0974682196334748,0.2549502156019103,0.4941165182411761,0.6238324621169801,0.8271362128201135,0.8258662299734976,0.7038502166286386,0.7893117133170534,0.96795264131907,0.6816134378796738,0.9434843970079656,1.040593409066282,1.1785159809221308,,,,,,
13,-16.671875,0.0625,0.6167573742553782,0.5405340538098251,0.2863479296047781,0.4333268782735243,0.3549955113712022,0.3391669311013454,0.4138873120968182,0.4096432969578761,0.3747816342371995,0.3576376862203449,0.337665676924055,0.2906437189132205,0.1491453319355014,0.2779223615414255,0.5354298605617612,0.6439839372729443,0.6659996965350247,1.6744293275283058,0.6460256094236794,0.7433796962898676,0.7228566504415496,0.9218964909963036,0.62530722382734,0.918263725115538,1.067337107122059,2.175581978151305,,,,
14,-16.8125,0.06640625,0.6202588601383252,0.6167160446247109,0.5514680904692503,0.4405660131489159,0.3710324945559204,0.3135569734995122,0.3814972673781702,0.3566344375878637,0.3611576417604719,0.3515580422137112,0.3413146779241084,0.3219361706563206,0.2663972862599976,0.1164574775094318,0.2536730699911703,0.5119261783647048,0.6107962018419112,0.7468601637920433,0.5795985517733193,0.6468679449446191,0.713079059472157,0.6078219299775512,0.7303315726688171,0.7407543205779226,0.8248445868119724,0.9379296878871396,1.0662216562794884,1.186175968306244,,
15,-16.7109375,0.0546875,0.5238566284809696,0.5780492457488328,0.5493677524773343,0.4620510233610869,0.3918341180532426,0.3605076093422927,0.3553531277662766,0.3483576525083779,0.5367174996119125,0.2103632448696646,0.3484317335286351,0.3531150591390345,0.3292422113950075,0.2514442365063226,0.1046403142333909,0.2302354978172376,0.4661149191512049,0.6235175459930277,1.6648529431490926,0.6281422669922526,0.6286885559639804,1.6854997919989616,0.7400895330404028,0.6937837760743636,0.7111802848153668,0.777338386757529,0.8525045300869422,0.9545186723686666,1.0589286936127766,1.1799810118156728
