# Reduction : NTR-KZFD based ; QUBO before applying embedding
j,k,rcs,at,meanr,minr,maxr,proba,nbdup,maxdup,nbduperrors
0,0,0.05,20,0.99125,0.75,1.0,0.94,3,2,3
0,0,0.1,20,0.97625,0.75,1.0,0.85,3,2,2
0,0,0.15000000000000002,20,0.9675,0.75,1.0,0.76,3,2,1
0,0,0.2,20,0.9825,0.75,1.0,0.88,3,2,2
0,0,0.25,20,0.93875,0.75,1.0,0.59,3,2,0
0,0,0.30000000000000004,20,0.93,0.625,1.0,0.53,3,2,1
0,0,0.35000000000000003,20,0.925,0.75,1.0,0.5,3,2,0
0,0,0.4,20,0.89625,0.625,1.0,0.39,3,2,1
0,0,0.45,20,0.88875,0.5,1.0,0.4,3,2,0
0,0,0.5,20,0.89625,0.5,1.0,0.42,3,2,0
0,0,0.55,20,0.87125,0.5,1.0,0.32,3,2,0
0,0,0.6000000000000001,20,0.82375,0.5,1.0,0.2,3,2,0
0,0,0.65,20,0.8625,0.625,1.0,0.29,3,2,0
0,0,0.7000000000000001,20,0.81875,0.5,1.0,0.16,3,2,0
0,0,0.75,20,0.795,0.375,1.0,0.1,3,2,0
0,0,0.8,20,0.79625,0.375,1.0,0.14,3,2,0
0,0,0.8500000000000001,20,0.7625,0.375,1.0,0.08,3,2,0
0,0,0.9,20,0.75875,0.25,1.0,0.06,3,2,0
0,0,0.9500000000000001,20,0.755,0.375,1.0,0.07,3,2,0
0,0,1.0,20,0.7225,0.25,1.0,0.06,3,2,0
0,0,1.05,20,0.71125,0.375,1.0,0.02,3,2,1
0,0,1.1,20,0.745,0.375,1.0,0.09,3,2,0
0,0,1.1500000000000001,20,0.6725,0.25,1.0,0.06,3,2,0
0,0,1.2000000000000002,20,0.68125,0.125,1.0,0.05,3,2,0
0,0,1.25,20,0.70375,0.25,1.0,0.06,3,2,0
0,0,1.3,20,0.66625,0.25,1.0,0.04,3,2,0
0,0,1.35,20,0.64625,0.25,1.0,0.01,3,2,0
0,0,1.4000000000000001,20,0.6975,0.125,1.0,0.07,3,2,0
0,0,1.4500000000000002,20,0.65125,0.375,1.0,0.01,3,2,0
0,1,0.05,20,0.84875,0.625,1.0,0.02,3,2,2
0,1,0.1,20,0.86875,0.5,1.0,0.07,3,2,1
0,1,0.15000000000000002,20,0.8975,0.625,1.0,0.23,3,2,0
0,1,0.2,20,0.96375,0.75,1.0,0.72,3,2,0
0,1,0.25,20,0.96625,0.75,1.0,0.74,3,2,0
0,1,0.30000000000000004,20,0.94,0.75,1.0,0.6,3,2,0
0,1,0.35000000000000003,20,0.9125,0.625,1.0,0.47,3,2,0
0,1,0.4,20,0.92375,0.625,1.0,0.52,3,2,0
0,1,0.45,20,0.8725,0.5,1.0,0.29,3,2,0
0,1,0.5,20,0.86625,0.625,1.0,0.26,3,2,0
0,1,0.55,20,0.8675,0.5,1.0,0.27,3,2,0
0,1,0.6000000000000001,20,0.81875,0.375,1.0,0.15,3,2,0
0,1,0.65,20,0.8075,0.375,1.0,0.12,3,2,0
0,1,0.7000000000000001,20,0.845,0.5,1.0,0.18,3,2,0
0,1,0.75,20,0.7925,0.5,1.0,0.11,3,2,0
0,1,0.8,20,0.7875,0.375,1.0,0.14,3,2,0
0,1,0.8500000000000001,20,0.75125,0.375,1.0,0.1,3,2,0
0,1,0.9,20,0.77375,0.25,1.0,0.16,3,2,0
0,1,0.9500000000000001,20,0.7425,0.375,1.0,0.11,3,2,0
0,1,1.0,20,0.70375,0.125,1.0,0.01,3,2,0
0,1,1.05,20,0.7175,0.25,1.0,0.02,3,2,0
0,1,1.1,20,0.68375,0.25,1.0,0.02,3,2,0
0,1,1.1500000000000001,20,0.68375,0.25,1.0,0.02,3,2,0
0,1,1.2000000000000002,20,0.705,0.375,1.0,0.01,3,2,0
0,1,1.25,20,0.675,0.25,1.0,0.03,3,2,0
0,1,1.3,20,0.67375,0.25,1.0,0.04,3,2,0
