# Reduction : NTR-KZFD based ; Ising before applying embedding
j,k,rcs,at,meanr,minr,maxr,proba,nbdup,maxdup,nbduperrors
0,0,0.05,20,0.996,0.8,1.0,0.98,2,2,1
0,0,0.1,20,0.97,0.4,1.0,0.92,2,2,2
0,0,0.15000000000000002,20,0.996,0.6,1.0,0.99,2,2,1
0,0,0.2,20,1.0,1.0,1.0,1.0,2,2,1
0,0,0.25,20,1.0,1.0,1.0,1.0,2,2,0
0,0,0.30000000000000004,20,1.0,1.0,1.0,1.0,2,2,1
0,0,0.35000000000000003,20,0.998,0.8,1.0,0.99,2,2,0
0,0,0.4,20,0.996,0.6,1.0,0.99,2,2,1
0,0,0.45,20,0.998,0.8,1.0,0.99,2,2,0
0,0,0.5,20,0.998,0.8,1.0,0.99,2,2,0
0,0,0.55,20,0.998,0.8,1.0,0.99,2,2,0
0,0,0.6000000000000001,20,0.996,0.8,1.0,0.98,2,2,0
0,0,0.65,20,0.9919999999999999,0.8,1.0,0.96,2,2,0
0,0,0.7000000000000001,20,0.9919999999999999,0.8,1.0,0.96,2,2,0
0,0,0.75,20,0.9899999999999999,0.8,1.0,0.95,2,2,0
0,0,0.8,20,0.9939999999999999,0.8,1.0,0.97,2,2,0
0,0,0.8500000000000001,20,0.9819999999999998,0.8,1.0,0.91,2,2,0
0,0,0.9,20,0.9839999999999998,0.8,1.0,0.92,2,2,0
0,0,0.9500000000000001,20,0.9779999999999996,0.8,1.0,0.89,2,2,0
0,0,1.0,20,0.9619999999999997,0.8,1.0,0.81,2,2,0
0,0,1.05,20,0.9619999999999996,0.8,1.0,0.81,2,2,0
0,0,1.1,20,0.9559999999999995,0.4,1.0,0.83,2,2,0
0,0,1.1500000000000001,20,0.9259999999999995,0.6,1.0,0.65,2,2,0
0,0,1.2000000000000002,20,0.9719999999999998,0.8,1.0,0.86,2,2,0
0,0,1.25,20,0.9059999999999991,0.6,1.0,0.59,2,2,0
0,0,1.3,20,0.9539999999999997,0.6,1.0,0.79,2,2,0
0,0,1.35,20,0.9359999999999994,0.6,1.0,0.73,2,2,0
0,0,1.4000000000000001,20,0.9439999999999995,0.6,1.0,0.73,2,2,0
0,0,1.4500000000000002,20,0.9319999999999992,0.6,1.0,0.7,2,2,0
0,1,0.05,20,0.9159999999999999,0.8,1.0,0.58,2,2,0
0,1,0.1,20,0.9180000000000001,0.8,1.0,0.59,2,2,2
0,1,0.15000000000000002,20,0.914,0.8,1.0,0.57,2,2,2
0,1,0.2,20,0.9080000000000001,0.8,1.0,0.54,2,2,1
0,1,0.25,20,0.94,0.8,1.0,0.7,2,2,1
0,1,0.30000000000000004,20,0.9419999999999998,0.6,1.0,0.72,2,2,0
0,1,0.35000000000000003,20,0.944,0.8,1.0,0.72,2,2,0
0,1,0.4,20,0.948,0.8,1.0,0.74,2,2,0
0,1,0.45,20,0.96,0.8,1.0,0.8,2,2,1
0,1,0.5,20,0.958,0.8,1.0,0.79,2,2,2
0,1,0.55,20,0.9619999999999997,0.8,1.0,0.81,2,2,0
0,1,0.6000000000000001,20,0.95,0.8,1.0,0.75,2,2,0
0,1,0.65,20,0.9799999999999999,0.8,1.0,0.9,2,2,0
0,1,0.7000000000000001,20,0.9799999999999998,0.8,1.0,0.9,2,2,2
0,1,0.75,20,0.9699999999999998,0.6,1.0,0.86,2,2,0
