# Settings (Grid Search) : f = 1, angles = None, n = 5x5, pmax = 15, backend = qasm_simulator (Aer), optimizer = COBYLA, (maxiter, tol) = (100, 1e-06), Hamiltonian, shots = 256
p,avg_cost,opt_proba,angles_0,angles_1,angles_2,angles_3,angles_4,angles_5,angles_6,angles_7,angles_8,angles_9,angles_10,angles_11,angles_12,angles_13,angles_14,angles_15,angles_16,angles_17,angles_18,angles_19,angles_20,angles_21,angles_22,angles_23,angles_24,angles_25,angles_26,angles_27,angles_28,angles_29
1,-17.83203125,0.23046875,0.4226832721275105,0.8438608703131898,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-18.14453125,0.35546875,0.6209995690525358,0.2963984924020174,0.8484048665796262,1.3267338008980971,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-18.2265625,0.45703125,0.6929062123904898,0.5484001358026087,0.2752001667462913,0.6333091802992996,1.1864601457127621,1.275692579043569,,,,,,,,,,,,,,,,,,,,,,,,
4,-18.39453125,0.41796875,0.6444537702840617,0.453869491453521,0.3036865588952075,0.0263337460123196,0.40856476623734306,0.8865436663335906,1.1786800454674866,1.2685770673747445,,,,,,,,,,,,,,,,,,,,,,
5,-18.43359375,0.44921875,0.6391098267319234,0.4643929813482726,0.3088658105703959,0.0301227836799341,3.1394088732411705,0.4012233233333058,0.8882264319450881,1.1778134097961335,1.2689842227836197,1.5121590511953293,,,,,,,,,,,,,,,,,,,,
6,-18.421875,0.4296875,0.6391098267319234,0.4643929813482726,0.3088658105703959,0.0301227836799341,3.1394088732411705,0.0,0.4012233233333058,0.8882264319450881,1.1778134097961335,1.2689842227836197,1.5121590511953293,1.2566370614359172,,,,,,,,,,,,,,,,,,
7,-18.43359375,0.48046875,0.599231839550763,0.450196685836194,0.2730262737806461,0.0126980528213772,3.132462261952288,3.1402899084063263,0.0425014860419624,0.4304954619725674,0.8777764273622113,1.054132636678613,1.255281919666695,0.5306282184964592,0.16419835904635782,2.5265644895165242,,,,,,,,,,,,,,,,
8,-18.47265625,0.50390625,0.5930400540534557,0.4751759012660808,0.2704781025055492,0.0190425110956027,0.0045199294902933,3.133844960559936,0.0441856642152419,3.128850893938011,0.43897978609719424,0.8776272570504178,1.0555393181767094,1.2611536995663828,5.817715150473691,0.16217718534165204,2.5227174221898494,2.520159658439975,,,,,,,,,,,,,,
9,-18.4921875,0.6875,0.6206761230845459,0.5996155984329256,0.3250073376635166,0.8907258119264628,1.013927619506956,3.0362695968003304,3.105091018408948,2.759428058294735,1.468106294443444,0.681905635708719,0.937743591567954,1.2509546336547226,1.3378975310880543,5.875891567475869,0.30531809952255173,2.7844047533452683,2.681580827649355,2.6556912546324822,,,,,,,,,,,,
10,-18.5234375,0.71484375,0.6182592730125899,0.5761645035579109,0.3222170785690152,0.9138663274957376,1.2246261819534563,2.840962097292607,3.1215298975960217,2.75114258536699,1.451467097760868,3.1368204844122425,0.6839141193312566,0.9402246503885365,1.231828722736771,1.3414385955856138,5.885384143026821,0.30584494277563756,2.7849569845195092,2.684782946103191,2.659482250748697,1.520067059626098,,,,,,,,,,
11,-18.57421875,0.69140625,0.6762049165839319,0.5904049991217247,0.3357286766607837,1.1205035288879166,1.0162388212476243,2.8372404679751724,0.0239162129919123,2.7620007621840834,1.4711924428859986,0.0269643353555393,3.126621124538416,0.6137562132696637,0.9197532967104491,1.2308981022644492,1.3231373487418372,5.858154110500328,0.26235619964608237,2.827060528607132,2.6390395454267783,2.8309546386891773,1.3387925734810313,1.4715174715213406,,,,,,,,
12,-18.59375,0.74609375,0.6591136907695005,0.5913948841531382,0.4452618223866432,1.1140743982907948,1.0045076362474663,2.879340962528671,0.0078978893271341,2.794633390965364,1.462265396137545,0.0381769014442513,3.129892931025992,3.126282071234133,0.6641220796955487,1.0376052396761652,1.1990721324946172,1.3410916182582646,5.670123936619043,0.43563623762950066,2.8355964033498835,2.6349326366196797,2.8456656252042936,1.3509449545988081,0.47943981739926755,3.7592837958262497,,,,,,
13,-18.66796875,0.7890625,0.6920141158376667,0.5801939427371284,0.4031945579376925,1.1115917162682387,1.044820822665797,2.879589710582944,0.0592769818548281,2.842674030620446,1.444673970940006,0.0375319958077761,3.109573424880176,3.121173344663524,3.1216682787734595,0.66914760957411,1.0481402828162185,1.2081532205193755,1.3160030179764473,5.592566553564356,0.4577349448664423,2.8540004005750252,2.655478777217072,2.862299284204487,1.3690010432737898,5.780874737062401,3.755963721733368,5.02334418384345,,,,
14,-18.73046875,0.8046875,0.6920141158376667,0.5801939427371284,0.4031945579376925,1.1115917162682387,1.044820822665797,2.879589710582944,0.0592769818548281,2.842674030620446,1.444673970940006,0.0375319958077761,3.109573424880176,3.121173344663524,3.1216682787734595,3.6554323816937644e-34,0.66914760957411,1.0481402828162185,1.2081532205193755,1.3160030179764473,5.592566553564356,0.4577349448664423,2.8540004005750252,2.616070963084415,2.980924847154831,1.3690010432737898,5.780874737062401,3.755963721733368,5.02334418384345,2.513274122871834,,
15,-18.7109375,0.78515625,0.6947417365826207,0.5789412081614,0.404954749608379,1.111955127341575,1.04618775239528,2.879497837392649,0.0603886358169359,2.863257684745725,1.434016138151608,0.039515073663071,3.1122896769126966,3.1231127135170684,3.122351272712436,0.0029489975075553,0.0029722197048562,0.6697344048165617,1.048423081697833,1.2094170985655088,1.3178679797360529,5.63095168379628,0.4973615969992924,2.8477339067084624,2.6098391763158926,2.974974734041067,1.3689943303489693,5.775203935866446,3.750426398577974,5.016888188332661,2.508072319315807,0.2515090591697735
