# Settings (thINTERP) : f = 1, angles = (Optimized best parameters on simulator for each p from pie_phi1_p15_iter100_INTERP_sv.csv), pmax = 15, backend = ibmq_bogota, optimizer = COBYLA, (maxiter, tol)
p,avg_cost,opt_proba,angles_0,angles_1,angles_2,angles_3,angles_4,angles_5,angles_6,angles_7,angles_8,angles_9,angles_10,angles_11,angles_12,angles_13,angles_14,angles_15,angles_16,angles_17,angles_18,angles_19,angles_20,angles_21,angles_22,angles_23,angles_24,angles_25,angles_26,angles_27,angles_28,angles_29
1,-16.94921875,0.15625,0.39819376487129804,0.7826536534257788,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-16.79296875,0.09765625,0.5607017048631694,0.3034381710906078,0.5120336715269488,1.1532597716815585,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-16.87109375,0.05078125,0.8206228052142074,0.43309988641416297,0.14358758945237637,0.8618332918944308,1.0857024415726906,2.140275761169943,,,,,,,,,,,,,,,,,,,,,,,,
4,-16.75,0.0625,0.4554895976029644,0.42113270478700676,0.32429147147944853,0.21293666278594792,0.33512646900417087,0.6509100328188882,0.7831754774720611,0.9476560857888446,,,,,,,,,,,,,,,,,,,,,,
5,-16.58203125,0.05078125,0.5852726269572888,0.4862219636346426,0.3869005530968875,0.2865881714777721,0.14247048381410815,0.47981962700105774,0.4103260344176762,0.7435352757484687,1.818329622559369,1.0235360606216695,,,,,,,,,,,,,,,,,,,,
6,-16.76171875,0.05078125,1.5015101968554485,0.6323646923121431,0.4429616183207208,0.3120588369382077,0.26555471552907295,0.039340803050908923,0.43947216576139436,0.5150954620861173,1.103944047572881,0.6693813858991657,0.9344806207878268,2.066498973101543,,,,,,,,,,,,,,,,,,
7,-16.68359375,0.05859375,0.5883711946469314,0.5255070000408861,0.3829399547805695,0.2901029759644723,0.3286436448237122,0.28875980190049294,0.2283001263247795,0.3554562811440387,0.5863428857481244,0.6079784601344671,0.6687171723431335,0.8599152759427131,1.97492630656413,1.0724076033147647,,,,,,,,,,,,,,,,
8,-16.421875,0.04296875,0.6316159560105483,0.5629553305609978,0.44917421627293924,0.3879027679272065,0.3765741393323473,0.37112420196425083,0.32088943706032563,0.1906109444687788,0.33938468406889327,0.5903598375104685,0.6371716194365015,0.73360555244711,0.6025702869823654,1.8521506067646651,0.8460781471459551,1.1226732089350382,,,,,,,,,,,,,,
9,-16.46484375,0.0390625,1.5999885386742578,0.5476836050269509,0.46251757418649375,0.3729143364423999,0.3474484771761156,0.3825743553449069,0.37264841655899955,0.3277398189345177,0.16683648330409365,0.28151550424008065,0.5908499603899019,0.6606187622756889,0.5934499627814505,0.656252552332549,0.7844988600748088,0.8770654793584631,0.9382616484356874,1.1213796083685483,,,,,,,,,,,,
10,-16.734375,0.0703125,0.6777571750414654,0.47864458118360254,0.39863073458465437,0.3726323387297601,0.313049162037312,0.34427889064802586,0.3890087827673673,0.404479484151798,0.22540232663727536,0.15962410679349445,0.27764528568262725,0.5980172492655284,0.6461129989843285,0.7211698580979848,0.7015527594794942,0.7533193802689587,0.9541346999013032,1.2280540015562074,0.7778974967262974,1.942236078654267,,,,,,,,,,
11,-16.60546875,0.05859375,0.6743700911620726,0.5531852927004017,0.43623382631461427,0.34959926115153606,0.33660130779036057,0.3729431090335412,0.3932857248318298,0.392471649710358,0.2607010307071057,0.24749610806366493,0.04767763103054389,0.28011673200691817,0.6275602251121093,0.6078408927177554,0.5847484126112824,0.6111614985441463,0.66346914823847,1.1812621668132142,0.7552373896378335,0.7579139998926365,1.9836629422829466,2.1652127014995877,,,,,,,,
12,-16.6953125,0.07421875,0.6139548590977251,0.551054047748349,0.46571465760244946,0.3506084532645986,0.34065202333248384,0.3614395993882003,0.354134034809436,0.38959207353582476,0.3336627593284742,0.2942428179400191,0.2606672688414502,0.09746821963347482,0.25495021560191033,0.4941165182411761,0.6238324621169801,0.8271362128201135,0.8258662299734976,0.7038502166286386,0.7893117133170534,0.96795264131907,0.6816134378796738,0.9434843970079655,1.040593409066282,1.1785159809221308,,,,,,
13,-16.671875,0.0625,0.6167573742553782,0.5405340538098251,0.2863479296047781,0.4333268782735243,0.3549955113712022,0.3391669311013454,0.4138873120968182,0.4096432969578761,0.37478163423719957,0.3576376862203449,0.337665676924055,0.29064371891322055,0.14914533193550145,0.2779223615414255,0.5354298605617612,0.6439839372729443,0.6659996965350247,1.6744293275283058,0.6460256094236794,0.7433796962898676,0.7228566504415496,0.9218964909963037,0.62530722382734,0.9182637251155379,1.067337107122059,2.175581978151305,,,,
14,-16.8125,0.06640625,0.6202588601383252,0.6167160446247109,0.5514680904692503,0.4405660131489159,0.37103249455592047,0.3135569734995122,0.3814972673781702,0.35663443758786373,0.3611576417604719,0.3515580422137112,0.3413146779241084,0.3219361706563206,0.26639728625999765,0.11645747750943186,0.2536730699911703,0.5119261783647048,0.6107962018419112,0.7468601637920433,0.5795985517733193,0.6468679449446191,0.713079059472157,0.6078219299775512,0.7303315726688171,0.7407543205779226,0.8248445868119724,0.9379296878871397,1.0662216562794884,1.186175968306244,,
