# Settings (INTERP) : f = 2, angles = None, pmax = 15, backend = statevector_simulator (Aer), optimizer = COBYLA, (maxiter, tol) = (100, 1e-06), Hamiltonian, shots = 256
p,avg_cost,opt_proba,angles_0,angles_1,angles_2,angles_3,angles_4,angles_5,angles_6,angles_7,angles_8,angles_9,angles_10,angles_11,angles_12,angles_13,angles_14,angles_15,angles_16,angles_17,angles_18,angles_19,angles_20,angles_21,angles_22,angles_23,angles_24,angles_25,angles_26,angles_27,angles_28,angles_29
1,-19.37704127896089,0.1560805216706138,0.3884046303517371,0.830731547336379,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-20.04924113937392,0.323136523228008,0.6020559376591237,0.3423668102032218,0.5722531734081562,1.0592064720475562,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-20.316520804225163,0.426077066190302,0.5827651634857097,0.4700787968148233,0.2476260584004342,0.40538687294515086,0.7379461923601367,0.9801179899167884,,,,,,,,,,,,,,,,,,,,,,,,
4,-20.385432795826787,0.4737013252851122,0.5473767339753741,0.4403881791447838,0.2902850461939736,0.1565489960131955,0.32446962096498577,0.5920255200058984,0.6902043925749917,0.8404214375207335,,,,,,,,,,,,,,,,,,,,,,
5,-20.48998329175689,0.5557788751172976,0.631108742176895,0.5449912281120182,0.3724488631113266,0.232534499537515,0.1809972856147515,0.28640746440870224,0.5523944633765252,0.724082251349361,0.7482018671769239,0.9729964082564102,,,,,,,,,,,,,,,,,,,,
6,-20.58494322635611,0.6541978593930432,0.6346327664192635,0.6053915050238818,0.4707997520709525,0.3171412707202155,0.2799746889468996,0.1773617430749553,0.31473198959722115,0.519066577209073,0.6899089868014121,0.7678474269021933,0.7807339827082593,0.8739497849601321,,,,,,,,,,,,,,,,,,
7,-20.708205660481877,0.7766410564754357,0.6277251456283922,0.6326789399316894,0.5534171839126371,0.434599495237455,0.3895869395886844,0.3416815203690781,0.1979524375509422,0.25341634364411014,0.5100811233108038,0.7121519144318089,0.805694339778011,0.8067315818215679,0.8244105635129229,0.9276304539951541,,,,,,,,,,,,,,,,
8,-20.874369965046675,0.9017862831844364,0.6234066846877925,0.6128214171255102,0.5441579811698809,0.4661729706545367,0.474337282909299,0.3959686216874605,0.3215913054605978,0.2033071489049853,0.29228321421295167,0.5107851638555285,0.6683752750050234,0.8308744916707642,0.8399132541805283,0.8390915916765191,0.8143937076611687,0.9704330242911121,,,,,,,,,,,,,,
9,-20.929168844437044,0.9550814383473692,0.5855785918980292,0.5851861568782837,0.5121381874509643,0.4741606158906893,0.4948109347960559,0.4258904840271142,0.3417882725286157,0.2456255771894133,0.1189435959680964,0.3037374820605869,0.5438504584723987,0.6689810941162353,0.803939001219236,0.8707588643770316,0.8404788354446104,0.8568762716584581,0.8585025557964734,0.9956402384689422,,,,,,,,,,,,
10,-20.94543978256229,0.9698313724716708,0.6331074761170556,0.5691641104771692,0.4909401888604505,0.4556892414064262,0.499213439382129,0.4533345998875364,0.3987564545876617,0.2926748758718907,0.203269356267141,0.0918552963456287,0.2881009775818111,0.4917578043658013,0.6429105366343366,0.7405125972476929,0.8717273167116479,0.8818950467353739,0.8138077736878326,0.8208906877323496,0.8729678821134108,0.9953779492253165,,,,,,,,,,
11,-20.974169289895716,0.9896801813075872,0.6286331892870913,0.6110792011634858,0.4869495990072974,0.444139886772364,0.4901606942357716,0.4900932807637848,0.4205364764867122,0.3077733216793119,0.2003616771365166,0.1452143785981136,0.0642440102991253,0.26510326293075526,0.46997091405062363,0.655126385347045,0.7618876813560265,0.8077782835839091,0.8216779359821844,0.879231917722481,0.8469017367338729,0.8304097772754933,0.906623482882341,1.1289934530477161,,,,,,,,
