# Settings (Grid Search) : f = 2, angles = None, n = 5x5, pmax = 15, backend = qasm_simulator (Aer), optimizer = COBYLA, (maxiter, tol) = (100, 1e-06), Hamiltonian, shots = 256
p,avg_cost,opt_proba,angles_0,angles_1,angles_2,angles_3,angles_4,angles_5,angles_6,angles_7,angles_8,angles_9,angles_10,angles_11,angles_12,angles_13,angles_14,angles_15,angles_16,angles_17,angles_18,angles_19,angles_20,angles_21,angles_22,angles_23,angles_24,angles_25,angles_26,angles_27,angles_28,angles_29
1,-19.52734375,0.2109375,0.338792751469354,0.9585359214411762,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-19.93359375,0.296875,0.5708159992036469,0.2827621578363011,0.6902329759630659,1.048166615701982,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-20.07421875,0.34375,0.5845798049079206,0.3619377785371035,0.0294945559023847,0.5234536775829106,1.0455441471409506,1.4112960682837015,,,,,,,,,,,,,,,,,,,,,,,,
4,-20.17578125,0.390625,0.5981035481999506,0.3584187455410238,0.0564347757126213,3.1325983836730384,0.5240103574038697,1.0369094899422473,1.4129776354152073,5.294990871392448,,,,,,,,,,,,,,,,,,,,,,
5,-20.21484375,0.34375,0.5990774121447734,0.3473026271823774,0.1151464010377529,3.1134546735438886,3.13993499117514,0.5459147039062202,1.0380631754208043,1.4438595212878829,4.297317389782171,3.999273055939278,,,,,,,,,,,,,,,,,,,,
6,-20.24609375,0.48828125,0.5847757642751881,0.9040857916522238,2.959873043891527,1.0264138351692011,0.0214571579564073,1.556374196110979,0.6300042224088829,0.9151573667903552,1.4810689510741497,4.365371075708989,3.0965054498803086,1.2235281340352326,,,,,,,,,,,,,,,,,,
7,-20.3359375,0.5390625,0.562795398827116,0.9036519743288782,3.0348802917162394,1.0535786932854474,3.0745431170187696,1.5199420686218117,3.108159640742134,0.5090553298973699,0.9082310800850877,1.4837150771843834,4.365589618660449,3.09516135564985,1.2225666867598406,1.5143912785909803,,,,,,,,,,,,,,,,
8,-20.375,0.53515625,0.562795398827116,0.9036519743288782,3.0348802917162394,1.0535786932854474,3.0745431170187696,1.5199420686218117,3.108159640742134,0.0,0.5090553298973699,0.9082310800850877,1.4837150771843834,4.365589618660449,3.09516135564985,0.2225666867598406,1.5143912785909803,1.2566370614359172,,,,,,,,,,,,,,
9,-20.34375,0.54296875,0.5630315387533238,0.9017312546407912,3.034944587078176,1.053804971166262,3.074214802063947,1.519945992901927,3.108141087083627,0.0001221485530919,3.1415226516606003,0.5090050124724703,0.9082429256835498,1.4836527689949364,4.365626840329996,2.088442314281357,5.5022951060112915,1.514389741716692,0.25658455331190844,2.5132992854700102,,,,,,,,,,,,
10,-20.328125,0.51171875,0.5630315387533238,0.9017312546407912,3.034944587078176,1.053804971166262,3.074214802063947,1.519945992901927,3.108141087083627,0.0001221485530919,3.1415226516606003,0.0,0.5090050124724703,0.9082429256835498,1.4836527689949364,4.365626840329996,2.088442314281357,5.5022951060112915,1.514389741716692,0.25658455331190844,2.5132992854700102,5.026548245743669,,,,,,,,,,
11,-20.4375,0.5546875,0.5630315387533238,0.9017312546407912,3.034944587078176,1.0538049711662618,3.074214802063947,1.519945992901927,3.108141087083627,0.0001221485530918,3.1415226516606003,7.772239140612071e-17,0.0,0.5090050124724703,0.9082429256835498,1.4836527689949364,4.362951137854162,1.8653860260686903,5.558728103683417,1.5708227393888174,0.31301755098403383,1.5697322831421356,5.026548245743669,1.2566370614359172,,,,,,,,
12,-20.59765625,0.8515625,0.5702961017573598,2.1773838060922337,2.903305036882907,2.046180784500718,2.913508967618946,1.520698744824364,3.05240172848563,3.041508415267054,2.915626284199884,3.0402202237661875,0.0357347587766457,1.0612086541458188,0.7078478578153549,0.5173074604619492,0.6945488645812752,4.433551579165184,0.8848042375956409,4.58673435044085,1.4129595454026047,0.3106288014580514,1.766890433308708,5.053329785494617,1.2503207046138138,2.5190617191616256,,,,,,
13,-20.7265625,0.87890625,0.5701909127812397,2.177673676213616,2.9030535326724296,2.046990465954075,2.9119609368678563,1.519324457686934,3.053899134686826,3.0417082734573286,2.9169824665476543,3.0541994838793247,0.0222027860244394,1.0613054595693845,3.1406884666136685,0.6736511069332654,0.5481331058612042,0.704834883711162,4.4143696833354635,0.8984717684921346,4.570067125245594,1.3381324737332063,0.38238338242059555,1.7680475253875283,5.053693553706758,1.249750432656179,2.517916579959372,1.256407129344523,,,,
14,-20.80078125,0.92578125,0.5678953938114669,2.168966746380856,2.89670258131779,2.038622830478673,2.905501642688702,1.5659828198001966,3.119829288001681,3.0314024898825216,2.9165056936439435,3.0447727526862587,0.0155589588614388,0.9633284991867364,0.0503575572817371,3.135452009550611,0.675169587223726,0.5993746944087679,0.7216143590123192,4.4117748669557315,0.9754023742533722,4.547601913758402,1.3666149662379379,6.1700233745465844,1.8378435235945965,5.1237697763849095,1.3189987325370058,2.5883744706735494,0.3168543342998369,5.276388358445214,,
15,-20.78515625,0.9140625,0.5679500071175808,2.169036143228551,2.8967600255148445,2.038225343057849,2.905574814057652,1.5660525311913296,3.119903874816101,3.031476919425223,2.916590503120096,3.079139771859273,0.049610874992806,0.9614772282315,0.0488569516570925,3.108102539948707,3.113196523280807,0.6758330712197811,0.5999970287284011,0.7222174901496219,4.412289297679413,0.9761376415738532,4.548286429811295,1.367263819237933,6.170685486886759,1.8385083792465329,5.124437832567234,1.3196823341526462,2.5890242381107975,0.31684399158683973,5.276786655637658,4.026940141875338
